code,origin,original_code,species,form,shiny,level,ball,item,ability,nature_policy,iv_policy,ev_policy,moves_policy,ot,nickname,gender_policy,expires_at
BeehiveworldTotodileShinyPartner,published,BeehiveworldTotodileShinyPartner,TOTODILE,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
MasgotHappyGlobalLaunch2021,published,MasgotHappyGlobalLaunch2021,MASGOT,14,0,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
IGGLYLOVE14,published,IGGLYLOVE14,IGGLYBUFFVINTAGE,0,0,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
B33FL3ADRIVE2021,published,B33FL3ADRIVE2021,BEEFLE,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
EEVEE2XENOVERSE,published,EEVEE2XENOVERSE,EEVEEVINTAGE,0,0,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
EXEGGEASTER2021,published,EXEGGEASTER2021,EXEGGCUTEVINTAGE,0,0,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
LITTENORANGE2021,published,LITTENORANGE2021,LITTEN,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
MIURATRIBUT3,published,MIURATRIBUT3,ABSOL,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
HUNTAIL2003,published,HUNTAIL2003,HUNTAIL,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
WEEDLE7ANNIVERS4RY,published,WEEDLE7ANNIVERS4RY,WEEDLESTARKEY,0,0,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
BRILLIANTL34F3ON,published,BRILLIANTL34F3ON,LEAFEON,1,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
SHININGGL4C3ON,published,SHININGGL4C3ON,GLACEON,1,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
V1NT4G3CYNDA4U,published,V1NT4G3CYNDA4U,CYNDAQUILVINTAGE,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
H4PPY29ST4RK,published,H4PPY29ST4RK,SHARPEDO,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_RETRO_STARYU,twitch,,STARYUVINTAGE,0,0,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_RETRO_TOTODILE,twitch,,TOTODILEVINTAGE,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_RETRO_EEVEE,twitch,,EEVEEVINTAGE,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_RETRO_EXEGGCUTE,twitch,,EXEGGCUTEVINTAGE,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_LEAFEON,twitch,,LEAFEON,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_PIPLUP,twitch_community,,PIPLUP,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_CHIMCHAR,youtube_community,,CHIMCHAR,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_TURTWIG,discord_community,,TURTWIG,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_RETRO_GASTLY,twitch,,GASTLYVINTAGE,0,0,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_RETRO_WEEDLE,twitch,,WEEDLEVINTAGE,0,0,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_PAWNIARD,twitch,,PAWNIARD,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_SQUIRTLE,discord_community,,SQUIRTLE,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_BULBASAUR,youtube_community,,BULBASAUR,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_CHARMANDER,twitch_community,,CHARMANDER,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_BRILLIANT_LEAFEON,twitch,,LEAFEON,1,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_SHINING_GLACEON,twitch,,GLACEON,1,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_SHINY_DITTO,twitch,,DITTO,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,genderless,9999-12-31
TW1TCH_SHINY_HISUIAN_GROWLITHE,twitch,,GROWLITHE,1,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
TW1TCH_RETRO_SHINY_BULBASAUR,twitch,,BULBASAURVINTAGE,0,1,5,15,NIL,0,random,random,zero,default,NIL,NIL,random,9999-12-31
